,Nombres_de_pieces,nbrdeb,superficie,addresse
700,6,4,200,"Rufisque, Sénégal"
701,3,2,150,"Cambérène, Dakar, Sénégal"
702,3,2,160,"Patte d'oie, Dakar, Sénégal"
703,5,4,400,"Mermoz-Sacré Coeur, Dakar, Sénégal"
704,4,3,150,"Mamelles, Dakar, Sénégal"
706,3,2,170,"HLM, Dakar, Sénégal"
709,3,2,150,"Mamelles, Dakar, Sénégal"
712,14,6,150,"Keur Massar, Sénégal"
713,10,8,273,"Mariste, Dakar, Sénégal"
714,5,4,424,"Mermoz-Sacré Coeur, Dakar, Sénégal"
718,7,4,630,"Almadies, Dakar, Sénégal"
719,3,3,600,"Saly, Sénégal"
720,6,3,150,"Dakar, Sénégal"
721,9,3,300,"Yoff, Dakar, Sénégal"
723,4,4,500,"Ngaparou, Sénégal"
724,8,8,105,"Sicap Liberté, Dakar, Sénégal"
726,9,2,200,"Dakar, Sénégal"
727,13,5,300,"Dakar, Sénégal"
729,10,5,260,"Toubab Dialao, Sénégal"
731,7,8,675,"Mermoz-Sacré Coeur, Dakar, Sénégal"
732,7,7,3200,"Keur Massar, Sénégal"
733,4,4,150,"Keur Massar, Sénégal"
734,4,3,150,"Dakar, Sénégal"
737,6,3,200,"Dakar, Sénégal"
740,5,4,600,"Mbour, Sénégal"
744,8,7,400,"Almadies, Dakar, Sénégal"
745,5,4,432,"Mermoz-Sacré Coeur, Dakar, Sénégal"
749,9,5,400,"Yoff, Dakar, Sénégal"
750,3,2,163,"Thies, Sénégal"
751,4,1,150,"Dakar, Sénégal"
752,3,1,150,"Keur Massar, Sénégal"
753,10,6,750,"Almadies, Dakar, Sénégal"
754,3,2,150,"Rufisque, Sénégal"
758,9,8,450,"Yoff, Dakar, Sénégal"
759,4,4,380,"Saly, Sénégal"
760,6,4,500,"Saly, Sénégal"
761,6,6,200,"Sacré-Coeur, Dakar, Sénégal"
762,3,2,171,"Rufisque, Sénégal"
764,4,2,168,"HLM, Dakar, Sénégal"
765,7,4,200,"Almadies, Dakar, Sénégal"
766,3,2,150,"Dakar, Sénégal"
768,5,2,150,"Cambérène, Dakar, Sénégal"
769,3,2,120,"Mamelles, Dakar, Sénégal"
772,5,5,600,"Ngor, Dakar, Sénégal"
773,5,4,250,"Mamelles, Dakar, Sénégal"
775,7,6,150,"Ouest Foire, Dakar, Sénégal"
776,5,4,300,"Mbour, Sénégal"
777,5,4,400,"Mbour, Sénégal"
778,8,1,150,"Keur Massar, Sénégal"
779,5,2,168,"HLM, Dakar, Sénégal"
780,10,5,300,"Sicap Liberté, Dakar, Sénégal"
781,6,3,175,"Mbour, Sénégal"
782,6,3,175,"Mbour, Sénégal"
783,3,7,600,"Ouakam, Dakar, Sénégal"
784,5,4,350,"Mermoz-Sacré Coeur, Dakar, Sénégal"
785,12,5,150,"Rufisque, Sénégal"
786,3,1,300,"Patte d'oie, Dakar, Sénégal"
787,3,1,160,"Yoff, Dakar, Sénégal"
788,6,2,210,"HLM, Dakar, Sénégal"
789,11,7,150,"Pikine, Sénégal"
792,15,7,1008,"Almadies, Dakar, Sénégal"
795,5,4,300,"Sicap foire, Dakar, Sénégal"
796,9,7,386,"Mbao, Dakar, Sénégal"
797,4,3,350,"Mermoz-Sacré Coeur, Dakar, Sénégal"
798,8,8,177,"Keur Massar, Sénégal"
799,5,5,250,"Almadies, Dakar, Sénégal"
800,10,2,130,"Mbao, Dakar, Sénégal"
801,5,3,150,"Dakar, Sénégal"
803,5,4,313,"Mermoz-Sacré Coeur, Dakar, Sénégal"
804,1,1,280,"Biscuiterie, Dakar, Sénégal"
805,7,6,225,"Pikine, Sénégal"
806,7,4,150,"Mbao, Dakar, Sénégal"
807,4,1,90,"Mbour, Sénégal"
809,3,2,150,"Mamelles, Dakar, Sénégal"
811,4,2,150,"Guediawaye, Dakar, Sénégal"
812,4,4,175,"Almadies 2, Dakar, Sénégal"
813,4,1,150,"Dakar, Sénégal"
818,4,4,600,"Mbour, Sénégal"
820,8,2,150,"Mbao, Dakar, Sénégal"
823,4,3,150,"Dakar, Sénégal"
824,4,2,150,"Mbao, Dakar, Sénégal"
825,7,4,200,"Rufisque, Sénégal"
826,5,5,1200,"Ngaparou, Sénégal"
827,12,3,160,"Mariste, Dakar, Sénégal"
828,5,3,957,"Saly, Sénégal"
829,3,1,121,"Sicap Liberté, Dakar, Sénégal"
830,5,2,168,"HLM, Dakar, Sénégal"
831,6,4,1100,"Mbour, Sénégal"
832,7,6,400,"Almadies, Dakar, Sénégal"
833,3,1,121,"Sicap Liberté, Dakar, Sénégal"
835,20,13,800,"Point E, Dakar, Sénégal"
837,5,2,150,"Dakar, Sénégal"
838,12,6,4800,"Ngaparou, Sénégal"
839,5,4,160,"Rufisque, Sénégal"
840,3,2,251,"Medina, Dakar, Sénégal"
842,1,1,150,"Dakar, Sénégal"
844,3,3,250,"Dakar, Sénégal"
845,8,4,150,"Keur Massar, Sénégal"
847,3,3,1000,"Mbour, Sénégal"
848,8,3,150,"Mariste, Dakar, Sénégal"
850,6,3,175,"Mbour, Sénégal"
851,6,3,175,"Mbour, Sénégal"
852,5,5,263,"Point E, Dakar, Sénégal"
853,4,3,200,"Rufisque, Sénégal"
854,212,5,212,"Mariste, Dakar, Sénégal"
855,9,10,600,"Ouakam, Dakar, Sénégal"
856,7,5,500,"Sicap Liberté, Dakar, Sénégal"
857,4,2,300,"Thies, Sénégal"
858,5,3,1200,"Ngaparou, Sénégal"
859,5,5,200,"Hann Bel-Air, Dakar, Sénégal"
860,7,7,3200,"Dakar, Sénégal"
861,5,4,1000,"Saly, Sénégal"
864,2,1,122,"Mbour, Sénégal"
865,4,3,200,"Rufisque, Sénégal"
866,7,5,200,"Dakar, Sénégal"
867,30,17,300,"Saint Louis, Sénégal"
868,4,5,200,"Dakar, Sénégal"
872,5,2,568,"Ngor, Dakar, Sénégal"
873,5,5,300,"Almadies, Dakar, Sénégal"
876,8,5,250,"Diamniadio, Sénégal"
878,7,5,300,"Sicap foire, Dakar, Sénégal"
880,3,1,250,"Pikine, Sénégal"
881,4,2,150,"Keur Massar, Sénégal"
885,7,4,200,"Mamelles, Dakar, Sénégal"
886,6,4,350,"Yoff, Dakar, Sénégal"
889,5,3,150,"Almadies, Dakar, Sénégal"
892,14,9,150,"Damel, Dakar, Sénégal"
895,3,2,200,"Ouakam, Dakar, Sénégal"
897,6,7,260,"Point E, Dakar, Sénégal"
899,5,3,424,"Mermoz-Sacré Coeur, Dakar, Sénégal"
900,7,6,424,"Mermoz-Sacré Coeur, Dakar, Sénégal"
904,3,1,121,"Sicap Liberté, Dakar, Sénégal"
906,13,7,150,"Mariste, Dakar, Sénégal"
907,5,3,300,"Malikounda, Sénégal"
908,12,8,180,"Dakar, Sénégal"
912,3,3,300,"Saly, Sénégal"
915,5,3,150,"Keur Massar, Sénégal"
918,10,5,225,"Rufisque, Sénégal"
921,7,7,3000,"Yoff, Dakar, Sénégal"
922,6,4,1000,"Yoff, Dakar, Sénégal"
923,6,3,150,"Dakar, Sénégal"
925,6,7,760,"Almadies, Dakar, Sénégal"
927,6,7,1000,"Mamelles, Dakar, Sénégal"
928,8,6,1000,"Almadies, Dakar, Sénégal"
931,7,4,500,"Sacré-Coeur, Dakar, Sénégal"
932,5,3,500,"Touba, Sénégal"
933,4,2,320,"Thies, Sénégal"
934,6,4,500,"Touba, Sénégal"
935,6,2,150,"Grand Dakar, Dakar, Sénégal"
937,8,5,200,"Mamelles, Dakar, Sénégal"
938,8,3,200,"Keur Massar, Sénégal"
940,4,4,3625,"Ngaparou, Sénégal"
942,1,1,440,"Rufisque, Sénégal"
943,4,3,500,"Saly, Sénégal"
946,7,5,400,"Lac rose, Sénégal"
947,9,6,150,"Dakar, Sénégal"
948,5,4,200,"Mamelles, Dakar, Sénégal"
949,4,3,250,"Almadies, Dakar, Sénégal"
950,8,3,150,"Dakar, Sénégal"
951,15,5,187,"Dakar, Sénégal"
953,4,4,300,"Almadies, Dakar, Sénégal"
954,5,2,300,"Mbour, Sénégal"
955,3,2,150,"Dakar, Sénégal"
957,1,1,1019,"Mbao, Dakar, Sénégal"
959,9,7,150,"Dakar, Sénégal"
960,5,3,122,"Hann Bel-Air, Dakar, Sénégal"
961,2,2,400,"Yenne Tode, Sénégal"
962,7,7,3200,"Dakar, Sénégal"
963,9,5,400,"Lac rose, Sénégal"
964,5,4,150,"Mamelles, Dakar, Sénégal"
966,20,11,550,"Point E, Dakar, Sénégal"
967,5,4,200,"Ouest Foire, Dakar, Sénégal"
970,5,3,600,"Ngaparou, Sénégal"
971,15,17,1000,"Almadies, Dakar, Sénégal"
972,5,3,150,"Dakar, Sénégal"
973,4,4,300,"Ngor, Dakar, Sénégal"
975,4,4,150,"Mbao, Dakar, Sénégal"
980,3,4,150,"Mbao, Dakar, Sénégal"
982,15,20,150,"Mariste, Dakar, Sénégal"
983,6,6,200,"Sacré-Coeur, Dakar, Sénégal"
984,5,5,1000,"Fann, Dakar, Sénégal"
985,8,8,1200,"Almadies, Dakar, Sénégal"
986,12,5,291,"Rufisque, Sénégal"
987,5,5,150,"Cambérène, Dakar, Sénégal"
991,15,17,800,"Almadies, Dakar, Sénégal"
992,3,2,150,"Sicap Liberté, Dakar, Sénégal"
993,3,1,250,"Thies, Sénégal"
995,3,1,200,"Guediawaye, Dakar, Sénégal"
996,8,8,1300,"Saly, Sénégal"
997,9,7,450,"Mbao, Dakar, Sénégal"
998,5,4,72,"Ouest Foire, Dakar, Sénégal"
999,4,2,15,"Keur Massar, Sénégal"
1000,6,7,150,"Diamalaye 1, Dakar, Sénégal"
1002,7,2,500,"Louga, Sénégal"
1003,2,2,400,"Mamelles, Dakar, Sénégal"
1004,6,5,300,"Yoff, Dakar, Sénégal"
1008,6,6,600,"Mbour, Sénégal"
1009,10,2,150,"Mbao, Dakar, Sénégal"
1010,4,5,1290,"Saly, Sénégal"
1011,7,7,220,"Mamelles, Dakar, Sénégal"
1014,5,5,400,"Hann Bel-Air, Dakar, Sénégal"
1015,5,5,400,"Almadies, Dakar, Sénégal"
1016,5,6,300,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1017,7,8,200,"Mamelles, Dakar, Sénégal"
1024,5,4,300,"Almadies, Dakar, Sénégal"
1025,3,2,157,"HLM, Dakar, Sénégal"
1026,5,6,1,"Sicap Liberté, Dakar, Sénégal"
1028,3,4,513,"Mbour, Sénégal"
1029,6,4,300,"Almadies, Dakar, Sénégal"
1031,5,4,150,"Rufisque, Sénégal"
1033,5,5,600,"Mbour, Sénégal"
1035,6,5,1000,"Mbour, Sénégal"
1036,7,6,150,"Mbao, Dakar, Sénégal"
1037,6,6,350,"Ngor, Dakar, Sénégal"
1039,6,5,1,"Ngor, Dakar, Sénégal"
1040,5,4,1,"Sacré-Coeur, Dakar, Sénégal"
1041,6,6,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1044,4,2,1,"Sipres, Dakar, Sénégal"
1046,3,3,150,"Djida Thiaroye Kaw, Sénégal"
1047,8,2,135,"Dakar, Sénégal"
1048,3,1,150,"Dakar, Sénégal"
1050,5,2,182,"Parcelle Assainies, Dakar, Sénégal"
1051,6,3,1,"Sipres, Dakar, Sénégal"
1052,5,5,600,"Saly, Sénégal"
1053,10,5,300,"Ngaparou, Sénégal"
1056,6,6,541,"Almadies, Dakar, Sénégal"
1057,1,2,251,"Medina, Dakar, Sénégal"
1058,4,3,500,"Mamelles, Dakar, Sénégal"
1059,5,4,300,"Saly, Sénégal"
1060,6,4,250,"Dakar, Sénégal"
1061,15,7,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1066,6,6,548,"Almadies, Dakar, Sénégal"
1067,3,2,250,"Rufisque, Sénégal"
1068,6,3,150,"Dakar, Sénégal"
1069,6,4,150,"Dakar, Sénégal"
1070,3,4,600,"Saly, Sénégal"
1071,20,5,250,"Dakar, Sénégal"
1073,7,3,300,"Guediawaye, Dakar, Sénégal"
1074,5,5,250,"Almadies, Dakar, Sénégal"
1079,5,4,600,"Almadies, Dakar, Sénégal"
1081,8,7,600,"Ngor, Dakar, Sénégal"
1082,7,1,450,"Louga, Sénégal"
1083,7,6,250,"Ngor, Dakar, Sénégal"
1085,9,8,200,"Mamelles, Dakar, Sénégal"
1086,5,3,262,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1087,6,6,1367,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1088,5,6,545,"Almadies, Dakar, Sénégal"
1089,4,4,300,"Mbour, Sénégal"
1090,5,3,150,"Almadies 2, Dakar, Sénégal"
1091,5,3,150,"Dakar, Sénégal"
1092,7,6,1050,"Mbour, Sénégal"
1093,3,3,200,"Rufisque, Sénégal"
1097,5,3,200,"Parcelle Assainies, Dakar, Sénégal"
1098,12,6,4800,"Ngaparou, Sénégal"
1099,5,4,1000,"Saly, Sénégal"
1101,6,4,324,"Mamelles, Dakar, Sénégal"
1102,5,5,450,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1103,5,4,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1104,5,3,200,"Parcelle Assainies, Dakar, Sénégal"
1105,7,2,150,"Rufisque, Sénégal"
1106,5,5,511,"Grand Dakar, Dakar, Sénégal"
1110,2,2,150,"Almadies 2, Dakar, Sénégal"
1111,5,5,684,"Saly, Sénégal"
1113,10,7,230,"Sacré-Coeur, Dakar, Sénégal"
1114,5,3,600,"Lac rose, Sénégal"
1115,8,5,300,"Keur Massar, Sénégal"
1116,5,5,100,"Touba, Sénégal"
1117,4,5,600,"Saly, Sénégal"
1118,6,3,175,"Mbour, Sénégal"
1119,6,3,175,"Mbour, Sénégal"
1124,5,4,200,"Dakar, Sénégal"
1127,3,2,150,"Rufisque, Sénégal"
1129,9,7,1040,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1130,1,1,150,"Keur Massar, Sénégal"
1131,3,3,150,"Guediawaye, Dakar, Sénégal"
1135,4,3,380,"Sicap Liberté, Dakar, Sénégal"
1136,7,4,200,"Almadies, Dakar, Sénégal"
1138,10,6,600,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1139,7,5,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1143,4,1,150,"Biscuiterie, Dakar, Sénégal"
1145,3,1,150,"Rufisque, Sénégal"
1149,6,4,513,"Saly, Sénégal"
1150,6,4,250,"Rufisque, Sénégal"
1152,5,7,1000,"Mamelles, Dakar, Sénégal"
1153,5,4,1100,"Fann, Dakar, Sénégal"
1154,4,2,150,"Mbao, Dakar, Sénégal"
1155,15,10,500,"Sacré-Coeur, Dakar, Sénégal"
1156,4,3,300,"Ouakam, Dakar, Sénégal"
1158,8,5,5000,"Dakar, Sénégal"
1159,3,2,180,"Keur Massar, Sénégal"
1160,5,5,9000,"Fatick, Sénégal"
1163,2,1,253,"Medina, Dakar, Sénégal"
1166,12,5,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1167,4,3,340,"Thies, Sénégal"
1168,6,6,300,"Hann Bel-Air, Dakar, Sénégal"
1170,4,3,300,"Mbour, Sénégal"
1171,8,4,2400,"Toubab Dialao, Sénégal"
1175,4,4,500,"Saly, Sénégal"
1176,2,2,300,"Mbour, Sénégal"
1177,4,2,300,"Mbour, Sénégal"
1180,5,5,315,"Almadies, Dakar, Sénégal"
1182,3,2,150,"Patte d'oie, Dakar, Sénégal"
1183,6,5,565,"Almadies, Dakar, Sénégal"
1184,4,2,150,"Rufisque, Sénégal"
1186,4,2,150,"Rufisque, Sénégal"
1187,13,7,150,"Diamalaye 1, Dakar, Sénégal"
1188,4,4,178,"Mariste, Dakar, Sénégal"
1190,7,4,200,"Almadies, Dakar, Sénégal"
1196,3,2,150,"Guediawaye, Dakar, Sénégal"
1197,5,3,500,"Saly, Sénégal"
1198,6,6,150,"Rufisque, Sénégal"
1199,5,2,150,"Keur Massar, Sénégal"
1203,6,5,400,"Ouakam, Dakar, Sénégal"
1205,18,20,1350,"Almadies, Dakar, Sénégal"
1206,7,4,513,"Mbour, Sénégal"
1207,12,5,592,"Mbour, Sénégal"
1208,5,3,200,"Keur Massar, Sénégal"
1209,6,6,600,"Almadies, Dakar, Sénégal"
1211,4,1,150,"Rufisque, Sénégal"
1212,9,4,150,"Hann Bel-Air, Dakar, Sénégal"
1214,4,3,170,"Sipres, Dakar, Sénégal"
1216,5,3,450,"Saly, Sénégal"
1217,7,8,700,"Ouakam, Dakar, Sénégal"
1218,5,2,150,"Keur Massar, Sénégal"
1222,8,6,225,"Thies, Sénégal"
1223,3,2,150,"Mamelles, Dakar, Sénégal"
1224,6,5,250,"Sacré-Coeur, Dakar, Sénégal"
1227,4,1,320,"Touba, Sénégal"
1229,4,3,150,"Almadies, Dakar, Sénégal"
1230,5,3,150,"Sacré-Coeur, Dakar, Sénégal"
1231,4,4,256,"Mamelles, Dakar, Sénégal"
1232,5,6,200,"Ouakam, Dakar, Sénégal"
1233,3,2,150,"Mamelles, Dakar, Sénégal"
1234,3,1,150,"Rufisque, Sénégal"
1236,8,2,150,"Dakar, Sénégal"
1237,5,4,400,"Almadies, Dakar, Sénégal"
1238,4,3,600,"Saly, Sénégal"
1239,3,2,150,"Rufisque, Sénégal"
1241,5,2,160,"Keur Massar, Sénégal"
1242,9,4,150,"Mbao, Dakar, Sénégal"
1244,7,7,900,"Ngaparou, Sénégal"
1245,7,9,300,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1246,5,3,150,"Guediawaye, Dakar, Sénégal"
1247,10,7,200,"Mamelles, Dakar, Sénégal"
1250,5,3,200,"Keur Massar, Sénégal"
1254,8,2,150,"Keur Massar, Sénégal"
1255,10,4,205,"Saly, Sénégal"
1256,5,7,400,"Saly, Sénégal"
1257,8,7,707,"Mbour, Sénégal"
1258,7,4,300,"Ouest Foire, Dakar, Sénégal"
1259,20,12,9000,"Mamelles, Dakar, Sénégal"
1260,5,5,600,"Mbour, Sénégal"
1261,6,3,300,"Hann Bel-Air, Dakar, Sénégal"
1263,5,3,1,"Almadies, Dakar, Sénégal"
1264,2,1,150,"Rufisque, Sénégal"
1265,5,3,400,"Rufisque, Sénégal"
1266,8,8,230,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1267,3,2,170,"HLM, Dakar, Sénégal"
1272,4,2,150,"Mamelles, Dakar, Sénégal"
1273,4,2,300,"Diamniadio, Sénégal"
1274,7,7,300,"Mariste, Dakar, Sénégal"
1275,5,1,160,"Dakar, Sénégal"
1276,6,6,200,"Mamelles, Dakar, Sénégal"
1277,4,1,320,"Touba, Sénégal"
1278,4,4,140,"Sicap Liberté, Dakar, Sénégal"
1279,5,4,500,"Saly, Sénégal"
1280,9,7,600,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1284,6,7,260,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1285,4,2,150,"Rufisque, Sénégal"
1286,4,4,300,"Almadies 2, Dakar, Sénégal"
1287,7,6,600,"Sacré-Coeur, Dakar, Sénégal"
1288,5,5,400,"Ouakam, Dakar, Sénégal"
1290,4,2,150,"Saly, Sénégal"
1291,4,4,1000,"Ngaparou, Sénégal"
1292,6,6,200,"Mamelles, Dakar, Sénégal"
1295,8,8,150,"Guediawaye, Dakar, Sénégal"
1296,4,3,600,"Ngaparou, Sénégal"
1297,5,3,600,"Ngaparou, Sénégal"
1299,6,5,196,"Mbao, Dakar, Sénégal"
1300,4,2,150,"Mbao, Dakar, Sénégal"
1301,18,5,600,"Hann Bel-Air, Dakar, Sénégal"
1303,12,9,150,"Mbao, Dakar, Sénégal"
1304,12,9,150,"Mbao, Dakar, Sénégal"
1305,3,2,150,"Dakar, Sénégal"
1306,3,1,150,"Guediawaye, Dakar, Sénégal"
1307,3,1,150,"Guediawaye, Dakar, Sénégal"
1310,6,4,150,"Keur Massar, Sénégal"
1311,3,2,150,"Dakar, Sénégal"
1316,9,6,350,"Mbao, Dakar, Sénégal"
1317,5,3,200,"Sicap Liberté, Dakar, Sénégal"
1319,2,1,150,"Keur Massar, Sénégal"
1320,5,4,326,"Almadies, Dakar, Sénégal"
1321,4,3,500,"Saly, Sénégal"
1322,6,4,390,"Almadies, Dakar, Sénégal"
1323,5,4,300,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1324,7,4,888,"Saly, Sénégal"
1325,5,2,160,"Keur Massar, Sénégal"
1326,7,5,1,"Dakar Plateau, Dakar, Sénégal"
1328,16,6,150,"Ouakam, Dakar, Sénégal"
1329,7,4,340,"Mariste, Dakar, Sénégal"
1330,8,2,150,"Rufisque, Sénégal"
1331,9,7,386,"Mbao, Dakar, Sénégal"
1332,9,6,160,"Keur Massar, Sénégal"
1333,5,3,250,"Dieuppeul-Derklé, Dakar, Sénégal"
1334,7,5,364,"Almadies, Dakar, Sénégal"
1340,4,2,225,"Thies, Sénégal"
1341,3,1,150,"Dakar, Sénégal"
1342,5,3,400,"Saly, Sénégal"
1343,12,3,150,"Guediawaye, Dakar, Sénégal"
1344,28,4,500,"Almadies, Dakar, Sénégal"
1345,16,2,150,"Mbao, Dakar, Sénégal"
1346,9,5,150,"Parcelle Assainies, Dakar, Sénégal"
1347,8,6,302,"Ngor, Dakar, Sénégal"
1349,5,1,150,"Pikine, Sénégal"
1350,5,5,298,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1351,8,5,300,"Ngaparou, Sénégal"
1352,11,6,150,"Pikine, Sénégal"
1353,4,3,150,"Parcelle Assainies, Dakar, Sénégal"
1354,4,2,200,"Keur Massar, Sénégal"
