,Nombres_de_pieces,nbrdeb,superficie,addresse
1355,5,3,150,"Mbao, Dakar, Sénégal"
1356,6,5,450,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1357,3,2,216,"Mbao, Dakar, Sénégal"
1358,4,2,150,"Rufisque, Sénégal"
1359,6,5,535,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1360,6,2,150,"Rufisque, Sénégal"
1361,10,6,225,"Cambérène, Dakar, Sénégal"
1362,7,4,700,"Sacré-Coeur, Dakar, Sénégal"
1363,3,2,70,"Saly, Sénégal"
1364,5,1,150,"Dakar, Sénégal"
1366,5,4,600,"Mbour, Sénégal"
1369,14,3,150,"Keur Massar, Sénégal"
1370,6,5,350,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1371,4,5,600,"Ngaparou, Sénégal"
1372,4,4,200,"Ngaparou, Sénégal"
1373,4,2,170,"Dakar, Sénégal"
1374,100000,100000,178,"Dieuppeul-Derklé, Dakar, Sénégal"
1375,10,7,1076,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1376,4,2,300,"Sicap Liberté, Dakar, Sénégal"
1377,6,5,700,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1378,5,4,250,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1379,7,5,900,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1380,5,4,350,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1381,7,5,900,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1382,3,1,150,"Guediawaye, Dakar, Sénégal"
1384,4,5,151,"Guediawaye, Dakar, Sénégal"
1386,6,6,170,"Ngor, Dakar, Sénégal"
1395,6,5,453,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1396,5,3,150,"Keur Massar, Sénégal"
1397,6,5,560,"Almadies, Dakar, Sénégal"
1398,6,5,600,"Almadies, Dakar, Sénégal"
1402,6,3,300,"Mbour, Sénégal"
1403,5,5,1000,"Saly, Sénégal"
1404,5,4,500,"Mamelles, Dakar, Sénégal"
1405,6,4,550,"Almadies, Dakar, Sénégal"
1406,3,3,600,"Mbour, Sénégal"
1407,5,4,210,"Sipres, Dakar, Sénégal"
1408,10,6,680,"Sacré-Coeur, Dakar, Sénégal"
1409,5,3,150,"Dakar, Sénégal"
1410,6,5,453,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1411,6,7,150,"Djily MBaye, Dakar, Sénégal"
1412,11,3,150,"Parcelle Assainies, Dakar, Sénégal"
1417,4,3,150,"Keur Massar, Sénégal"
1418,4,2,150,"Mbao, Dakar, Sénégal"
1420,5,2,150,"Rufisque, Sénégal"
1421,5,4,1,"Ouest Foire, Dakar, Sénégal"
1422,10,7,150,"Guediawaye, Dakar, Sénégal"
1423,5,3,235,"Sacré-Coeur, Dakar, Sénégal"
1424,4,4,500,"Mbour, Sénégal"
1426,3,3,425,"Saly, Sénégal"
1427,5,5,450,"Saly, Sénégal"
1428,8,7,300,"Mamelles, Dakar, Sénégal"
1429,4,1,320,"Touba, Sénégal"
1431,6,5,1300,"Ngor, Dakar, Sénégal"
1432,7,7,1,"Mamelles, Dakar, Sénégal"
1433,10,5,1,"Mamelles, Dakar, Sénégal"
1435,7,5,680,"Dieuppeul-Derklé, Dakar, Sénégal"
1436,6,4,1,"Ngor, Dakar, Sénégal"
1437,5,4,150,"Hann Bel-Air, Dakar, Sénégal"
1439,4,4,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1441,6,5,452,"Almadies, Dakar, Sénégal"
1443,8,2,150,"Rufisque, Sénégal"
1444,6,5,450,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1446,12,7,600,"Almadies, Dakar, Sénégal"
1447,6,5,434,"Almadies, Dakar, Sénégal"
1448,15,4,200,"Mbao, Dakar, Sénégal"
1451,9,4,150,"Grand Dakar, Dakar, Sénégal"
1453,8,6,540,"Yoff, Dakar, Sénégal"
1454,7,4,204,"Sicap Liberté, Dakar, Sénégal"
1456,8,2,100,"HLM, Dakar, Sénégal"
1457,7,4,150,"Almadies 2, Dakar, Sénégal"
1458,4,2,150,"Keur Massar, Sénégal"
1460,5,5,700,"Point E, Dakar, Sénégal"
1461,3,2,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1462,19,9,150,"Grand Yoff, Dakar, Sénégal"
1463,8,4,250,"Ouakam, Dakar, Sénégal"
1464,5,4,560,"Sicap foire, Dakar, Sénégal"
1465,7,4,153,"Rufisque, Sénégal"
1467,8,2,100,"Dakar, Sénégal"
1468,8,2,100,"Dakar, Sénégal"
1469,6,4,320,"Dakar, Sénégal"
1470,2,2,100,"Dakar, Sénégal"
1473,7,2,280,"Sacré-Coeur, Dakar, Sénégal"
1475,11,4,291,"Rufisque, Sénégal"
1477,5,5,435,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1478,11,5,200,"Sacré-Coeur, Dakar, Sénégal"
1479,6,5,676,"Almadies, Dakar, Sénégal"
1480,6,5,469,"Almadies, Dakar, Sénégal"
1481,5,4,175,"Keur Massar, Sénégal"
1482,6,6,450,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1484,4,4,500,"Mbao, Dakar, Sénégal"
1488,6,5,545,"Almadies, Dakar, Sénégal"
1489,6,5,600,"Almadies, Dakar, Sénégal"
1494,3,1,1506,"Dakar, Sénégal"
1497,4,2,150,"Mbao, Dakar, Sénégal"
1498,4,2,300,"Thies, Sénégal"
1499,5,4,210,"Sipres, Dakar, Sénégal"
1501,6,5,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1502,4,2,1,"Mariste, Dakar, Sénégal"
1503,4,4,300,"Mbour, Sénégal"
1504,6,4,88,"Diamalaye 1, Dakar, Sénégal"
1507,8,5,296,"Ngor, Dakar, Sénégal"
1509,2,1,450,"Mbour, Sénégal"
1511,6,5,4,"Mamelles, Dakar, Sénégal"
1512,7,7,250,"Mamelles, Dakar, Sénégal"
1513,6,4,150,"Rufisque, Sénégal"
1514,5,5,750,"Mamelles, Dakar, Sénégal"
1516,6,5,456,"Sacré-Coeur, Dakar, Sénégal"
1520,6,4,1800,"Saly, Sénégal"
1522,6,4,300,"Mbour, Sénégal"
1525,6,5,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1526,2,2,150,"Dakar, Sénégal"
1528,6,4,249,"Dakar, Sénégal"
1530,6,2,165,"Patte d'oie, Dakar, Sénégal"
1534,17,17,7500,"Saly, Sénégal"
1535,5,4,200,"Sipres, Dakar, Sénégal"
1536,6,3,230,"Sipres, Dakar, Sénégal"
1538,3,2,1000,"Diamniadio, Sénégal"
1543,7,5,250,"Sicap Liberté, Dakar, Sénégal"
1544,6,5,354,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1545,5,4,600,"Ngaparou, Sénégal"
1546,5,5,300,"Djily MBaye, Dakar, Sénégal"
1547,4,2,150,"Parcelle Assainies, Dakar, Sénégal"
1548,6,5,431,"Almadies, Dakar, Sénégal"
1549,6,5,212,"Almadies, Dakar, Sénégal"
1550,5,1,300,"Rufisque, Sénégal"
1552,5,2,350,"Saly, Sénégal"
1553,2,2,150,"Mbao, Dakar, Sénégal"
1556,6,5,290,"Almadies, Dakar, Sénégal"
1557,4,3,300,"Louga, Sénégal"
1559,7,3,150,"Dakar, Sénégal"
1560,6,5,359,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1562,5,3,150,"Keur Massar, Sénégal"
1563,3,2,150,"Dakar, Sénégal"
1566,9,3,590,"Mbour, Sénégal"
1567,5,1,300,"Mbour, Sénégal"
1568,6,4,136,"Mbao, Dakar, Sénégal"
1569,8,4,150,"Rufisque, Sénégal"
1571,8,6,1500,"Ngaparou, Sénégal"
1580,6,5,219,"Almadies, Dakar, Sénégal"
1582,4,2,250,"Thies, Sénégal"
1583,4,4,400,"Guediawaye, Dakar, Sénégal"
1584,10,8,150,"Keur Massar, Sénégal"
1585,6,3,175,"Mbour, Sénégal"
1586,5,3,200,"Parcelle Assainies, Dakar, Sénégal"
1587,4,3,150,"Guediawaye, Dakar, Sénégal"
1588,5,4,230,"Sipres, Dakar, Sénégal"
1589,12,7,200,"Mamelles, Dakar, Sénégal"
1590,6,3,150,"Niaga, Sénégal"
1592,7,4,150,"Sicap foire, Dakar, Sénégal"
1593,5,3,200,"Dakar, Sénégal"
1596,7,6,200,"Parcelle Assainies, Dakar, Sénégal"
1597,5,3,250,"Mamelles, Dakar, Sénégal"
1600,5,5,5000,"Almadies, Dakar, Sénégal"
1603,10,3,150,"Keur Massar, Sénégal"
1604,4,1,230,"Dakar, Sénégal"
1605,1,1,290,"Dakar, Sénégal"
1606,7,5,1200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1607,6,5,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1609,4,4,500,"Saly, Sénégal"
1610,4,4,400,"Saly, Sénégal"
1611,5,5,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1612,5,5,450,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1613,7,3,150,"Ouakam, Dakar, Sénégal"
1614,7,4,500,"Sacré-Coeur, Dakar, Sénégal"
1615,7,5,800,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1616,5,3,193,"Rufisque, Sénégal"
1617,4,2,188,"Thies, Sénégal"
1619,5,4,300,"Sicap foire, Dakar, Sénégal"
1620,6,5,560,"Sacré-Coeur, Dakar, Sénégal"
1621,3,3,200,"Tambacounda, Sénégal"
1622,6,5,200,"Almadies, Dakar, Sénégal"
1625,5,1,150,"Guediawaye, Dakar, Sénégal"
1626,12,5,200,"Biscuiterie, Dakar, Sénégal"
1628,5,1,150,"Guediawaye, Dakar, Sénégal"
1630,8,2,100,"HLM, Dakar, Sénégal"
1631,3,3,500,"Saly, Sénégal"
1633,7,5,364,"Almadies, Dakar, Sénégal"
1634,7,5,600,"Sacré-Coeur, Dakar, Sénégal"
1635,5,5,300,"Point E, Dakar, Sénégal"
1636,7,5,350,"Ngor, Dakar, Sénégal"
1637,5,5,200,"Sipres, Dakar, Sénégal"
1639,17,15,300,"Rufisque, Sénégal"
1640,9,3,180,"Dakar, Sénégal"
1642,5,6,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1646,5,3,150,"Dakar, Sénégal"
1648,6,5,170,"Ouakam, Dakar, Sénégal"
1651,6,5,300,"Almadies, Dakar, Sénégal"
1652,12,13,1200,"Ngaparou, Sénégal"
1653,8,3,150,"Dakar, Sénégal"
1655,6,5,600,"Almadies, Dakar, Sénégal"
1659,10,6,590,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1660,5,4,1500,"Saly, Sénégal"
1663,6,5,226,"Thies, Sénégal"
1666,10,6,450,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1667,1,1,150,"Dakar, Sénégal"
1669,7,3,220,"Keur Massar, Sénégal"
1670,4,3,100,"Sicap Liberté, Dakar, Sénégal"
1671,4,3,150,"Sicap Liberté, Dakar, Sénégal"
1672,5,5,600,"Point E, Dakar, Sénégal"
1674,6,4,500,"Ngor, Dakar, Sénégal"
1675,10,2,170,"Keur Massar, Sénégal"
1676,10,5,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1677,5,3,200,"Rufisque, Sénégal"
1678,9,4,300,"Thies, Sénégal"
1680,5,4,150,"Keur Massar, Sénégal"
1683,9,4,200,"Ouest Foire, Dakar, Sénégal"
1684,6,5,600,"Fann, Dakar, Sénégal"
1685,10,3,200,"Parcelle Assainies, Dakar, Sénégal"
1686,8,2,150,"Keur Massar, Sénégal"
1688,4,3,242,"Mbao, Dakar, Sénégal"
1689,9,5,180,"Dakar Plateau, Dakar, Sénégal"
1690,4,2,160,"Keur Massar, Sénégal"
1691,1,1,1200,"Mbao, Dakar, Sénégal"
1692,4,2,300,"Thies, Sénégal"
1696,5,5,800,"Almadies, Dakar, Sénégal"
1697,11,4,650,"Keur Massar, Sénégal"
1698,8,4,300,"Keur Massar, Sénégal"
1699,8,2,150,"Keur Massar, Sénégal"
1701,6,3,160,"Malikounda, Sénégal"
1704,7,6,500,"Saly, Sénégal"
1705,4,4,300,"Dakar, Sénégal"
1706,4,4,300,"Dakar, Sénégal"
1707,20,19,600,"Saly, Sénégal"
1708,8,1,150,"Keur Massar, Sénégal"
1711,10,6,165,"Dakar, Sénégal"
1712,5,2,300,"HLM, Dakar, Sénégal"
1713,5,3,600,"Almadies, Dakar, Sénégal"
1714,3,4,250,"Ngaparou, Sénégal"
1717,9,9,200,"Almadies, Dakar, Sénégal"
1728,4,4,288,"Biscuiterie, Dakar, Sénégal"
1734,4,1,160,"Keur Massar, Sénégal"
1735,4,8,1800,"Ngaparou, Sénégal"
1736,5,2,150,"Keur Massar, Sénégal"
1738,6,5,350,"Sacré-Coeur, Dakar, Sénégal"
1739,4,3,150,"Keur Massar, Sénégal"
1742,7,5,600,"Louga, Sénégal"
1743,11,4,165,"Keur Massar, Sénégal"
1751,5,4,210,"Sipres, Dakar, Sénégal"
1752,2,2,600,"Thies, Sénégal"
1754,3,2,150,"Mbao, Dakar, Sénégal"
1755,6,5,296,"Almadies, Dakar, Sénégal"
1756,5,3,165,"Rufisque, Sénégal"
1759,7,5,600,"Almadies, Dakar, Sénégal"
1760,2,1,225,"Dakar, Sénégal"
1761,2,1,185,"Pikine, Sénégal"
1762,2,1,150,"Almadies 2, Dakar, Sénégal"
1763,5,3,200,"Parcelle Assainies, Dakar, Sénégal"
1764,3,1,300,"Dakar, Sénégal"
1765,6,4,150,"Guediawaye, Dakar, Sénégal"
1766,5,2,200,"Diamniadio, Sénégal"
1767,5,4,210,"Parcelle Assainies, Dakar, Sénégal"
1768,5,2,200,"Guediawaye, Dakar, Sénégal"
1769,3,2,150,"Rufisque, Sénégal"
1770,5,7,400,"Saly, Sénégal"
1771,4,2,150,"Patte d'oie, Dakar, Sénégal"
1772,4,3,900,"Mbour, Sénégal"
1773,4,1,160,"Dakar, Sénégal"
1774,6,4,150,"Dakar, Sénégal"
1775,4,2,1800,"Dakar, Sénégal"
1776,6,3,1356,"Fann, Dakar, Sénégal"
1778,5,5,800,"Mbour, Sénégal"
1779,5,5,684,"Saly, Sénégal"
1782,4,2,150,"Dakar, Sénégal"
1786,7,4,300,"Dakar, Sénégal"
1787,4,4,518,"Saly, Sénégal"
1788,3,3,300,"Ngaparou, Sénégal"
1789,3,3,300,"Ngaparou, Sénégal"
1790,5,6,200,"Mamelles, Dakar, Sénégal"
1792,4,1,160,"Keur Massar, Sénégal"
1794,4,2,312,"Sicap Liberté, Dakar, Sénégal"
1796,6,5,150,"Dakar, Sénégal"
1797,4,4,1350,"Saly, Sénégal"
1798,9,7,1500,"Fatick, Sénégal"
1800,5,5,1010,"Ngaparou, Sénégal"
1801,4,4,500,"Saly, Sénégal"
1803,6,5,208,"Sacré-Coeur, Dakar, Sénégal"
1807,8,4,250,"Thies, Sénégal"
1808,6,7,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1809,14,8,600,"Mamelles, Dakar, Sénégal"
1810,9,8,200,"Mamelles, Dakar, Sénégal"
1811,4,4,230,"Mamelles, Dakar, Sénégal"
1813,5,3,282,"Keur Massar, Sénégal"
1814,1,1,301,"Dakar, Sénégal"
1815,5,5,1000,"Saly, Sénégal"
1816,5,5,150,"Dakar, Sénégal"
1817,15,9,12,"Almadies, Dakar, Sénégal"
1818,6,5,700,"Ngaparou, Sénégal"
1819,9,4,196,"Ouest Foire, Dakar, Sénégal"
1820,7,4,150,"Mamelles, Dakar, Sénégal"
1822,4,1,160,"Keur Massar, Sénégal"
1824,5,7,250,"Mbao, Dakar, Sénégal"
1825,11,6,150,"Keur Massar, Sénégal"
1826,4,3,150,"Sicap Liberté, Dakar, Sénégal"
1827,6,4,470,"Ngaparou, Sénégal"
1828,4,2,150,"Grand Dakar, Dakar, Sénégal"
1829,5,5,210,"Sipres, Dakar, Sénégal"
1830,6,5,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1831,15,8,600,"Almadies, Dakar, Sénégal"
1832,4,2,150,"Sicap Liberté, Dakar, Sénégal"
1833,4,3,225,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1834,5,2,300,"Sicap Liberté, Dakar, Sénégal"
1835,4,3,120,"Mamelles, Dakar, Sénégal"
1837,5,3,250,"Yoff, Dakar, Sénégal"
1838,20,13,160,"Grand Yoff, Dakar, Sénégal"
1839,8,7,359,"Point E, Dakar, Sénégal"
1840,8,7,230,"Mamelles, Dakar, Sénégal"
1841,4,4,200,"Ngaparou, Sénégal"
1842,6,2,200,"HLM, Dakar, Sénégal"
1843,3,1,150,"Keur Massar, Sénégal"
1845,4,3,300,"Mbour, Sénégal"
1846,5,5,4200,"Saly, Sénégal"
1849,8,6,162,"Ngor, Dakar, Sénégal"
1850,7,5,200,"Mariste, Dakar, Sénégal"
1851,3,2,315,"Mbour, Sénégal"
1852,4,2,175,"Mbao, Dakar, Sénégal"
1853,8,6,300,"Diamniadio, Sénégal"
1854,7,7,590,"Almadies, Dakar, Sénégal"
1855,6,5,4784,"Almadies, Dakar, Sénégal"
1856,10,3,205,"Ouest Foire, Dakar, Sénégal"
1858,4,2,150,"Dakar, Sénégal"
1859,4,2,150,"Sacré-Coeur, Dakar, Sénégal"
1861,16,8,300,"Saly, Sénégal"
1862,14,7,200,"Dakar, Sénégal"
1863,5,1,100,"Dakar, Sénégal"
1870,3,2,300,"Toubab Dialao, Sénégal"
1872,8,8,296,"Almadies, Dakar, Sénégal"
1873,8,5,300,"Keur Massar, Sénégal"
1874,5,4,200,"Medina, Dakar, Sénégal"
1877,3,3,300,"Mbour, Sénégal"
1878,8,2,500,"Djily MBaye, Dakar, Sénégal"
1879,4,2,150,"Parcelle Assainies, Dakar, Sénégal"
1881,5,2,300,"Medina, Dakar, Sénégal"
1882,3,3,600,"Ngaparou, Sénégal"
1884,3,2,400,"Rufisque, Sénégal"
1885,6,7,200,"Ouakam, Dakar, Sénégal"
1887,5,3,150,"Keur Massar, Sénégal"
1888,5,4,150,"Mamelles, Dakar, Sénégal"
1890,4,3,450,"Sicap Liberté, Dakar, Sénégal"
1892,4,5,300,"Saly, Sénégal"
1894,3,2,106,"Guediawaye, Dakar, Sénégal"
1895,11,11,650,"Ngaparou, Sénégal"
1896,3,3,150,"Rufisque, Sénégal"
1897,7,6,12,"Almadies, Dakar, Sénégal"
1898,10,5,160,"Rufisque, Sénégal"
1900,5,5,159,"Dakar, Sénégal"
1901,3,3,400,"Mbour, Sénégal"
1902,4,2,150,"Grand Yoff, Dakar, Sénégal"
1903,5,2,150,"Grand Yoff, Dakar, Sénégal"
1904,3,1,165,"Mbao, Dakar, Sénégal"
1906,8,5,225,"Guediawaye, Dakar, Sénégal"
1907,7,6,400,"Mamelles, Dakar, Sénégal"
1909,1,1,360,"Dieuppeul-Derklé, Dakar, Sénégal"
1910,5,2,150,"Keur Massar, Sénégal"
1912,13,13,400,"Saint Louis, Sénégal"
1913,6,5,400,"Mamelles, Dakar, Sénégal"
1915,4,2,150,"Rufisque, Sénégal"
1916,10,2,150,"Keur Massar, Sénégal"
1917,4,2,160,"Keur Massar, Sénégal"
1918,5,3,90,"Ouakam, Dakar, Sénégal"
1919,5,2,150,"Keur Massar, Sénégal"
1921,5,5,210,"Sipres, Dakar, Sénégal"
1922,3,3,500,"Saly, Sénégal"
1923,6,4,150,"Sacré-Coeur, Dakar, Sénégal"
1924,5,4,200,"Keur Massar, Sénégal"
1926,6,5,150,"Mbao, Dakar, Sénégal"
1927,3,2,150,"Guediawaye, Dakar, Sénégal"
1929,8,5,150,"Rufisque, Sénégal"
1930,4,2,225,"Thies, Sénégal"
1932,7,5,175,"Parcelle Assainies, Dakar, Sénégal"
1933,5,2,284,"Mboro, Sénégal"
1936,4,2,155,"Patte d'oie, Dakar, Sénégal"
1938,3,2,150,"Rufisque, Sénégal"
1941,8,5,292,"Sicap Liberté, Dakar, Sénégal"
1942,10,5,180,"Pikine, Sénégal"
1943,6,5,400,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1944,3,3,160,"Dakar, Sénégal"
1945,5,3,192,"Rufisque, Sénégal"
1946,5,2,150,"Rufisque, Sénégal"
1949,13,6,502,"Almadies, Dakar, Sénégal"
1950,6,5,159,"Dakar, Sénégal"
1954,5,4,250,"Lac rose, Sénégal"
1955,4,4,300,"Saly, Sénégal"
1957,4,2,170,"Mbao, Dakar, Sénégal"
1959,3,3,600,"Ngaparou, Sénégal"
1960,7,4,300,"Sicap Liberté, Dakar, Sénégal"
1961,7,7,400,"Dakar, Sénégal"
1962,6,3,150,"Dakar, Sénégal"
1965,5,5,210,"Sipres, Dakar, Sénégal"
1966,16,10,280,"HLM, Dakar, Sénégal"
1967,3,2,150,"Dakar, Sénégal"
1969,3,2,150,"Ouest Foire, Dakar, Sénégal"
1970,4,2,160,"Keur Massar, Sénégal"
1972,15,10,12,"Almadies, Dakar, Sénégal"
1973,6,3,150,"Dakar, Sénégal"
1977,12,8,180,"Sicap foire, Dakar, Sénégal"
1980,8,4,300,"Sicap Liberté, Dakar, Sénégal"
1981,8,4,300,"Sicap Liberté, Dakar, Sénégal"
1983,5,5,150,"Mbao, Dakar, Sénégal"
1984,6,1,160,"Mbao, Dakar, Sénégal"
1985,15,10,12,"Almadies, Dakar, Sénégal"
1986,5,5,12,"Sacré-Coeur, Dakar, Sénégal"
1989,3,2,300,"Ngaparou, Sénégal"
1990,3,1,150,"Mbao, Dakar, Sénégal"
1993,4,3,150,"Parcelle Assainies, Dakar, Sénégal"
1994,5,4,12,"Dakar Plateau, Dakar, Sénégal"
