,Nbrpieces,Nbr_salle_deB,superficie,addresse
2196,4,4,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2197,4,2,175,"Ouakam, Dakar, Sénégal"
2198,4,5,212,"Point E, Dakar, Sénégal"
2199,4,2,150,"Ouest Foire, Dakar, Sénégal"
2200,4,4,250,"Yoff, Dakar, Sénégal"
2202,4,3,1450,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2204,4,5,220,"Yoff, Dakar, Sénégal"
2205,3,2,90,"Almadies, Dakar, Sénégal"
2206,4,3,150,"Almadies, Dakar, Sénégal"
2208,4,4,268,"Almadies, Dakar, Sénégal"
2209,4,4,250,"Rufisque, Sénégal"
2210,3,2,81,"Diamniadio, Sénégal"
2211,3,2,81,"Diamniadio, Sénégal"
2212,4,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2213,6,2,170,"Ouakam, Dakar, Sénégal"
2214,4,1,200,"Mariste, Dakar, Sénégal"
2216,4,3,155,"Dakar, Sénégal"
2217,4,5,212,"Point E, Dakar, Sénégal"
2218,4,4,170,"Yoff, Dakar, Sénégal"
2219,4,3,300,"Sacré-Coeur, Dakar, Sénégal"
2220,2,2,78,"Mariste, Dakar, Sénégal"
2221,2,3,200,"Ngor, Dakar, Sénégal"
2223,5,5,260,"Yoff, Dakar, Sénégal"
2224,5,5,260,"Yoff, Dakar, Sénégal"
2226,5,4,284,"Sacré-Coeur, Dakar, Sénégal"
2227,4,2,150,"Mamelles, Dakar, Sénégal"
2229,4,2,75,"Yoff, Dakar, Sénégal"
2230,3,3,130,"Mamelles, Dakar, Sénégal"
2232,3,1,150,"Keur Massar, Sénégal"
2233,3,2,70,"Mamelles, Dakar, Sénégal"
2234,3,2,100,"Sicap foire, Dakar, Sénégal"
2235,4,3,170,"Almadies, Dakar, Sénégal"
2236,4,4,170,"Point E, Dakar, Sénégal"
2237,3,2,140,"Dakar Plateau, Dakar, Sénégal"
2238,4,5,212,"Point E, Dakar, Sénégal"
2239,4,4,155,"Dakar, Sénégal"
2240,4,4,341,"Almadies, Dakar, Sénégal"
2242,5,5,250,"Fann, Dakar, Sénégal"
2243,5,5,300,"Dakar Plateau, Dakar, Sénégal"
2247,2,2,120,"Parcelle Assainies, Dakar, Sénégal"
2248,4,3,200,"Almadies, Dakar, Sénégal"
2249,4,3,300,"Almadies, Dakar, Sénégal"
2250,4,3,200,"Ngor, Dakar, Sénégal"
2251,2,3,140,"Ngor, Dakar, Sénégal"
2253,4,5,12,"Almadies, Dakar, Sénégal"
2254,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2256,4,3,22,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2257,3,1,1,"HLM, Dakar, Sénégal"
2258,2,2,55,"Almadies, Dakar, Sénégal"
2260,4,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2261,3,3,150,"Mamelles, Dakar, Sénégal"
2262,3,4,210,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2263,3,2,150,"Almadies, Dakar, Sénégal"
2264,4,3,200,"Almadies, Dakar, Sénégal"
2265,3,2,81,"Diamniadio, Sénégal"
2266,4,4,190,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2267,6,5,250,"Mamelles, Dakar, Sénégal"
2268,4,3,150,"Dakar, Sénégal"
2269,6,6,329,"Mamelles, Dakar, Sénégal"
2270,5,4,284,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2271,4,3,12,"Mamelles, Dakar, Sénégal"
2272,4,2,150,"Mbao, Dakar, Sénégal"
2274,4,4,180,"Dakar, Sénégal"
2279,4,2,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2280,3,2,120,"Ngor, Dakar, Sénégal"
2281,5,5,220,"Yoff, Dakar, Sénégal"
2282,2,3,120,"Sicap Liberté, Dakar, Sénégal"
2285,3,2,120,"Ngor, Dakar, Sénégal"
2286,4,2,150,"Ouest Foire, Dakar, Sénégal"
2289,4,3,1,"Sicap Liberté, Dakar, Sénégal"
2290,7,3,165,"Ngor, Dakar, Sénégal"
2291,4,4,250,"Yoff, Dakar, Sénégal"
2292,4,3,200,"Almadies, Dakar, Sénégal"
2296,4,3,200,"Keur Massar, Sénégal"
2297,4,3,150,"Mamelles, Dakar, Sénégal"
2298,4,3,140,"Mamelles, Dakar, Sénégal"
2299,5,5,300,"Almadies, Dakar, Sénégal"
2300,4,4,200,"Mamelles, Dakar, Sénégal"
2301,4,4,200,"Mamelles, Dakar, Sénégal"
2302,3,3,130,"Yoff, Dakar, Sénégal"
2303,4,6,600,"Point E, Dakar, Sénégal"
2305,4,5,150,"Dakar Plateau, Dakar, Sénégal"
2306,3,2,1,"HLM, Dakar, Sénégal"
2308,4,5,150,"Yoff, Dakar, Sénégal"
2310,5,5,220,"Yoff, Dakar, Sénégal"
2311,5,4,250,"Almadies, Dakar, Sénégal"
2312,4,3,150,"Parcelle Assainies, Dakar, Sénégal"
2313,4,3,180,"Parcelle Assainies, Dakar, Sénégal"
2314,5,5,260,"Yoff, Dakar, Sénégal"
2317,3,4,1,"Yoff, Dakar, Sénégal"
2318,5,5,450,"Fann, Dakar, Sénégal"
2320,2,2,120,"Fass, Dakar, Sénégal"
2323,5,4,250,"Yoff, Dakar, Sénégal"
2324,5,4,250,"Yoff, Dakar, Sénégal"
2325,4,3,170,"Guediawaye, Dakar, Sénégal"
2326,6,5,300,"Fann, Dakar, Sénégal"
2327,2,2,80,"Fann, Dakar, Sénégal"
2328,5,1,150,"Ngor, Dakar, Sénégal"
2329,3,3,80,"Sicap Liberté, Dakar, Sénégal"
2330,4,2,150,"Ouest Foire, Dakar, Sénégal"
2331,4,3,150,"Yoff, Dakar, Sénégal"
2334,4,3,12,"Mamelles, Dakar, Sénégal"
2336,4,2,160,"Mamelles, Dakar, Sénégal"
2337,1,1,70,"Yoff, Dakar, Sénégal"
2338,3,2,60,"Ouakam, Dakar, Sénégal"
2339,4,4,190,"Sacré-Coeur, Dakar, Sénégal"
2340,4,4,170,"Mamelles, Dakar, Sénégal"
2341,4,4,200,"Almadies, Dakar, Sénégal"
2342,4,5,341,"Almadies, Dakar, Sénégal"
2345,4,4,240,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2346,6,3,1000,"Dakar Plateau, Dakar, Sénégal"
2347,1,1,45,"Mamelles, Dakar, Sénégal"
2348,4,3,150,"Sicap foire, Dakar, Sénégal"
2349,2,2,55,"Mariste, Dakar, Sénégal"
2350,2,2,55,"Almadies, Dakar, Sénégal"
2351,2,2,1,"Ouakam, Dakar, Sénégal"
2352,4,4,200,"Keur Massar, Sénégal"
2354,4,4,219,"Dakar, Sénégal"
2355,4,4,200,"Almadies, Dakar, Sénégal"
2356,2,2,140,"Almadies, Dakar, Sénégal"
2357,4,4,849,"Almadies, Dakar, Sénégal"
2358,4,4,200,"Almadies, Dakar, Sénégal"
2359,2,2,75,"Almadies, Dakar, Sénégal"
2360,5,6,243,"Fann, Dakar, Sénégal"
2361,4,4,300,"Fann, Dakar, Sénégal"
2362,3,4,223,"Dakar Plateau, Dakar, Sénégal"
2363,4,4,225,"Point E, Dakar, Sénégal"
2367,3,3,350,"Almadies, Dakar, Sénégal"
2368,3,2,1,"Yoff, Dakar, Sénégal"
2369,4,3,150,"Yoff, Dakar, Sénégal"
2370,4,3,200,"Almadies, Dakar, Sénégal"
2371,4,4,170,"Mamelles, Dakar, Sénégal"
2374,3,3,100,"Almadies, Dakar, Sénégal"
2380,4,5,225,"Fann, Dakar, Sénégal"
2382,4,4,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2383,3,2,90,"Sicap Liberté, Dakar, Sénégal"
2384,4,3,220,"Yoff, Dakar, Sénégal"
2385,4,3,220,"Yoff, Dakar, Sénégal"
2386,3,2,150,"Pikine, Sénégal"
2387,3,2,150,"Sicap foire, Dakar, Sénégal"
2388,4,5,190,"Almadies, Dakar, Sénégal"
2391,4,5,229,"Almadies, Dakar, Sénégal"
2392,4,3,160,"Mamelles, Dakar, Sénégal"
2393,2,2,70,"Ouest Foire, Dakar, Sénégal"
2394,5,4,300,"Ngor, Dakar, Sénégal"
2396,4,4,330,"Almadies, Dakar, Sénégal"
2397,4,4,187,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2401,3,2,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2404,3,3,150,"Point E, Dakar, Sénégal"
2405,3,4,204,"Fann, Dakar, Sénégal"
2406,3,3,110,"Sicap foire, Dakar, Sénégal"
2407,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2408,3,2,120,"Ngor, Dakar, Sénégal"
2409,3,3,12,"Almadies, Dakar, Sénégal"
2411,3,4,350,"Dakar Plateau, Dakar, Sénégal"
2412,3,4,174,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2413,4,3,12,"Mamelles, Dakar, Sénégal"
2414,4,2,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2416,4,3,180,"Sacré-Coeur, Dakar, Sénégal"
2417,3,2,137,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2418,6,4,234,"Sipres, Dakar, Sénégal"
2420,3,2,100,"Sicap Liberté, Dakar, Sénégal"
2421,3,3,150,"Mamelles, Dakar, Sénégal"
2424,3,3,100,"Mamelles, Dakar, Sénégal"
2427,5,5,240,"Yoff, Dakar, Sénégal"
2432,2,2,100,"Sacré-Coeur, Dakar, Sénégal"
2433,1,1,6,"Dakar, Sénégal"
2434,3,4,180,"Yoff, Dakar, Sénégal"
2435,3,2,12,"Almadies, Dakar, Sénégal"
2436,3,3,150,"Dakar, Sénégal"
2438,3,2,68,"Dakar, Sénégal"
2439,3,2,150,"Ngor, Dakar, Sénégal"
2440,3,3,12,"Almadies, Dakar, Sénégal"
2442,4,4,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2443,4,3,159,"Yoff, Dakar, Sénégal"
2444,2,2,92,"Point E, Dakar, Sénégal"
2445,3,3,120,"Yoff, Dakar, Sénégal"
2446,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2447,4,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2448,4,4,187,"Yoff, Dakar, Sénégal"
2449,4,2,150,"Sacré-Coeur, Dakar, Sénégal"
2450,3,3,12,"Almadies, Dakar, Sénégal"
2451,4,4,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2454,3,1,120,"Mamelles, Dakar, Sénégal"
2455,3,1,110,"Sipres, Dakar, Sénégal"
2456,4,5,190,"Dakar, Sénégal"
2457,2,2,90,"Mamelles, Dakar, Sénégal"
2458,3,2,120,"Ngor, Dakar, Sénégal"
2459,4,3,150,"Djily MBaye, Dakar, Sénégal"
2460,3,2,150,"Ngor, Dakar, Sénégal"
2461,4,2,150,"Ngor, Dakar, Sénégal"
2463,3,4,1,"Mamelles, Dakar, Sénégal"
2464,3,2,120,"Yoff, Dakar, Sénégal"
2465,4,2,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2466,4,2,125,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2467,3,2,110,"Sicap Liberté, Dakar, Sénégal"
2468,4,2,125,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2469,4,5,224,"Dakar, Sénégal"
2470,4,4,180,"Yoff, Dakar, Sénégal"
2471,4,4,180,"Yoff, Dakar, Sénégal"
2472,9,4,280,"Almadies, Dakar, Sénégal"
2473,5,5,195,"Yoff, Dakar, Sénégal"
2479,3,2,100,"Damel, Dakar, Sénégal"
2480,3,2,100,"Damel, Dakar, Sénégal"
2481,4,5,224,"Almadies, Dakar, Sénégal"
2482,3,2,150,"Ngor, Dakar, Sénégal"
2483,4,2,150,"Ouest Foire, Dakar, Sénégal"
2485,3,2,150,"Ngor, Dakar, Sénégal"
2487,4,3,150,"Rufisque, Sénégal"
2488,4,2,120,"Almadies, Dakar, Sénégal"
2489,3,1,50,"Sicap Liberté, Dakar, Sénégal"
2490,3,2,150,"Sicap foire, Dakar, Sénégal"
2491,2,1,100,"Sicap foire, Dakar, Sénégal"
2492,5,5,360,"Almadies, Dakar, Sénégal"
2493,4,2,112,"Diamniadio, Sénégal"
2494,3,2,80,"Sicap foire, Dakar, Sénégal"
2495,4,4,200,"Dakar Plateau, Dakar, Sénégal"
2502,4,3,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2503,4,3,236,"Dakar, Sénégal"
2504,3,1,60,"Sicap Liberté, Dakar, Sénégal"
2505,4,5,225,"Point E, Dakar, Sénégal"
2506,4,3,180,"Mamelles, Dakar, Sénégal"
2508,3,3,150,"Mamelles, Dakar, Sénégal"
2509,5,4,175,"Patte d'oie, Dakar, Sénégal"
2510,3,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2511,4,4,200,"Almadies, Dakar, Sénégal"
2512,4,4,250,"Fann, Dakar, Sénégal"
2513,6,6,329,"Mamelles, Dakar, Sénégal"
2514,4,3,150,"Sacré-Coeur, Dakar, Sénégal"
2515,3,3,12,"Almadies, Dakar, Sénégal"
2516,4,4,200,"Fann, Dakar, Sénégal"
2517,4,4,180,"Mamelles, Dakar, Sénégal"
2518,3,2,12,"Sicap Liberté, Dakar, Sénégal"
2519,4,3,150,"Sacré-Coeur, Dakar, Sénégal"
2523,5,5,250,"Almadies, Dakar, Sénégal"
2524,2,1,150,"Rufisque, Sénégal"
2525,1,1,12,"Sicap Liberté, Dakar, Sénégal"
2526,3,2,80,"Ouakam, Dakar, Sénégal"
2527,5,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2531,4,4,217,"Almadies, Dakar, Sénégal"
2532,4,3,200,"Mariste, Dakar, Sénégal"
2533,4,5,250,"Almadies, Dakar, Sénégal"
2534,4,4,250,"Almadies, Dakar, Sénégal"
2535,5,5,250,"Almadies, Dakar, Sénégal"
2537,4,4,185,"Almadies, Dakar, Sénégal"
2541,3,2,97,"Sacré-Coeur, Dakar, Sénégal"
2542,2,1,55,"Ouakam, Dakar, Sénégal"
2543,3,3,100,"Mamelles, Dakar, Sénégal"
2544,4,3,140,"Sacré-Coeur, Dakar, Sénégal"
2545,3,2,105,"Ouest Foire, Dakar, Sénégal"
2546,4,4,200,"Almadies, Dakar, Sénégal"
2547,4,4,13,"Yoff, Dakar, Sénégal"
2548,3,1,110,"Ngor, Dakar, Sénégal"
2549,6,6,329,"Mamelles, Dakar, Sénégal"
2550,4,2,150,"Ngor, Dakar, Sénégal"
2554,5,3,200,"Ngor, Dakar, Sénégal"
2555,4,3,180,"Almadies, Dakar, Sénégal"
2556,4,3,150,"Sacré-Coeur, Dakar, Sénégal"
2559,5,4,280,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2560,5,5,240,"Yoff, Dakar, Sénégal"
2561,3,3,100,"Ngor, Dakar, Sénégal"
2562,1,1,200,"Almadies, Dakar, Sénégal"
2563,5,3,446,"Fann, Dakar, Sénégal"
2564,4,3,12,"Mamelles, Dakar, Sénégal"
2565,4,3,147,"Almadies, Dakar, Sénégal"
2566,4,3,170,"Sacré-Coeur, Dakar, Sénégal"
2570,3,3,100,"Fass, Dakar, Sénégal"
2571,3,4,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2572,4,4,100,"Almadies, Dakar, Sénégal"
2574,4,2,308,"Saly, Sénégal"
2576,3,3,110,"Fann, Dakar, Sénégal"
2577,5,4,90,"Sicap foire, Dakar, Sénégal"
2578,4,3,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2584,5,5,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2587,1,1,55,"Sicap Liberté, Dakar, Sénégal"
2589,2,2,75,"Sicap Liberté, Dakar, Sénégal"
2590,4,2,12,"Sicap Liberté, Dakar, Sénégal"
2592,2,2,1,"Patte d'oie, Dakar, Sénégal"
2593,5,5,272,"Almadies, Dakar, Sénégal"
2594,2,2,55,"Almadies, Dakar, Sénégal"
2598,5,5,329,"Mamelles, Dakar, Sénégal"
2599,4,4,12,"Ouakam, Dakar, Sénégal"
2600,5,5,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2602,2,1,100,"Dieuppeul-Derklé, Dakar, Sénégal"
2603,5,5,280,"Point E, Dakar, Sénégal"
2604,3,2,120,"Sicap Liberté, Dakar, Sénégal"
2605,5,4,320,"Almadies, Dakar, Sénégal"
2606,4,3,240,"Fann, Dakar, Sénégal"
2607,5,4,500,"Almadies, Dakar, Sénégal"
2609,5,5,340,"Almadies, Dakar, Sénégal"
2610,3,1,120,"Damel, Dakar, Sénégal"
2611,5,4,175,"Damel, Dakar, Sénégal"
2618,4,3,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2620,3,2,1,"Guediawaye, Dakar, Sénégal"
2621,5,5,240,"Yoff, Dakar, Sénégal"
2622,5,5,240,"Yoff, Dakar, Sénégal"
2623,5,3,300,"Almadies, Dakar, Sénégal"
2624,3,3,1,"Mamelles, Dakar, Sénégal"
2627,4,4,180,"Point E, Dakar, Sénégal"
2629,4,3,150,"Mamelles, Dakar, Sénégal"
2633,4,3,150,"Ouakam, Dakar, Sénégal"
2634,3,3,215,"Yoff, Dakar, Sénégal"
2642,2,2,150,"Mamelles, Dakar, Sénégal"
2643,3,3,137,"Fann, Dakar, Sénégal"
2644,1,1,14,"Saint Louis, Sénégal"
2646,3,3,12,"Sicap Liberté, Dakar, Sénégal"
2647,4,3,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2648,4,3,130,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2651,4,3,150,"Dakar, Sénégal"
2653,4,3,150,"Yoff, Dakar, Sénégal"
2654,4,4,150,"Almadies, Dakar, Sénégal"
2656,4,3,150,"Hann Bel-Air, Dakar, Sénégal"
2659,3,3,12,"Almadies, Dakar, Sénégal"
2660,4,2,70,"Yoff, Dakar, Sénégal"
2661,4,3,170,"Dakar Plateau, Dakar, Sénégal"
2662,7,3,100,"Yoff, Dakar, Sénégal"
2666,3,1,121,"Diamniadio, Sénégal"
2667,3,2,120,"Sicap Liberté, Dakar, Sénégal"
2675,4,4,12,"Ouakam, Dakar, Sénégal"
2682,3,1,50,"Damel, Dakar, Sénégal"
2683,3,3,120,"Yoff, Dakar, Sénégal"
2684,4,3,150,"Mamelles, Dakar, Sénégal"
2686,3,4,155,"Mamelles, Dakar, Sénégal"
2687,5,5,295,"Almadies, Dakar, Sénégal"
2688,2,1,50,"Dakar, Sénégal"
2689,4,2,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2692,3,4,160,"Almadies, Dakar, Sénégal"
2693,5,5,245,"Almadies, Dakar, Sénégal"
2694,4,4,12,"Ouakam, Dakar, Sénégal"
2695,3,3,95,"Diamniadio, Sénégal"
2696,3,4,150,"Almadies, Dakar, Sénégal"
2697,5,3,185,"Mamelles, Dakar, Sénégal"
2698,5,4,160,"Sipres, Dakar, Sénégal"
2699,3,3,12,"Almadies, Dakar, Sénégal"
2700,4,4,400,"Almadies, Dakar, Sénégal"
2701,2,2,130,"Ngor, Dakar, Sénégal"
2703,2,2,1,"Patte d'oie, Dakar, Sénégal"
2705,4,4,200,"Almadies, Dakar, Sénégal"
2706,7,5,400,"Almadies, Dakar, Sénégal"
2708,4,5,200,"Dakar Plateau, Dakar, Sénégal"
2709,4,4,250,"Fann, Dakar, Sénégal"
2710,3,2,120,"Damel, Dakar, Sénégal"
2713,4,1,150,"Keur Massar, Sénégal"
2715,4,3,100,"Ouakam, Dakar, Sénégal"
2719,5,4,500,"Almadies, Dakar, Sénégal"
2726,3,2,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2727,4,4,220,"Almadies, Dakar, Sénégal"
2729,4,2,175,"Mariste, Dakar, Sénégal"
2732,3,2,130,"Sicap Liberté, Dakar, Sénégal"
2733,2,2,60,"Mamelles, Dakar, Sénégal"
2734,3,2,130,"Sicap Liberté, Dakar, Sénégal"
2737,3,4,160,"Mamelles, Dakar, Sénégal"
2739,7,2,160,"Almadies, Dakar, Sénégal"
2749,3,2,80,"Mamelles, Dakar, Sénégal"
2750,4,3,140,"Sicap Liberté, Dakar, Sénégal"
2751,2,2,75,"Mariste, Dakar, Sénégal"
2753,3,2,90,"Sicap foire, Dakar, Sénégal"
2756,3,2,100,"HLM, Dakar, Sénégal"
2758,4,4,200,"Ouakam, Dakar, Sénégal"
2759,4,3,200,"Dakar Plateau, Dakar, Sénégal"
2761,4,5,150,"Point E, Dakar, Sénégal"
2762,2,1,90,"Point E, Dakar, Sénégal"
2763,4,4,225,"Fann, Dakar, Sénégal"
2765,4,3,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2766,3,2,1,"Sicap Liberté, Dakar, Sénégal"
2767,2,2,100,"Almadies, Dakar, Sénégal"
2768,3,3,100,"Mamelles, Dakar, Sénégal"
2769,2,1,54,"Almadies, Dakar, Sénégal"
2772,4,3,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2773,4,3,150,"Ouest Foire, Dakar, Sénégal"
2776,4,5,160,"Mamelles, Dakar, Sénégal"
2779,5,4,250,"Yoff, Dakar, Sénégal"
2784,4,3,150,"Mamelles, Dakar, Sénégal"
2785,4,5,190,"Mamelles, Dakar, Sénégal"
2786,4,5,190,"Almadies, Dakar, Sénégal"
2787,5,6,340,"Almadies, Dakar, Sénégal"
2788,3,3,12,"Almadies, Dakar, Sénégal"
2789,5,5,240,"Yoff, Dakar, Sénégal"
2790,3,3,142,"Sicap Liberté, Dakar, Sénégal"
2791,8,3,180,"Almadies, Dakar, Sénégal"
2799,3,3,150,"Ngor, Dakar, Sénégal"
2800,2,2,75,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2802,3,2,150,"Hann Bel-Air, Dakar, Sénégal"
2803,4,3,150,"Mamelles, Dakar, Sénégal"
2806,4,3,140,"Mermoz-Sacré Coeur, Dakar, Sénégal"
2808,4,4,190,"Ouakam, Dakar, Sénégal"
2813,3,2,120,"Mariste, Dakar, Sénégal"
2818,3,2,80,"Dieuppeul-Derklé, Dakar, Sénégal"
2819,4,2,150,"Saint Louis, Sénégal"
2820,5,5,12,"Sacré-Coeur, Dakar, Sénégal"
2821,4,3,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
